2026-04-28 13:07:49,698 | INFO | schedule.execution | Schedule execution audit logger ready (file: /Users/moshoodsikiru/Documents/ai-fx-trader/logs/schedule-execution.log)
2026-04-28 13:09:46,890 | INFO | schedule.execution | Schedule execution audit logger ready (file: /Users/moshoodsikiru/Documents/ai-fx-trader/logs/schedule-execution.log)
2026-04-28 13:15:00,004 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T12:15:00.004412+00:00
2026-04-28 13:15:00,146 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T12:15:00.146244+00:00
2026-04-28 13:15:20,101 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=14741 signal_id=- detail=Predicted move -6.5 pips below minimum 15.0
2026-04-28 13:15:20,116 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=19894 signal_id=- detail=Predicted move -2.8 pips below minimum 5.0
2026-04-28 13:19:15,018 | INFO | schedule.execution | Schedule execution audit logger ready (file: /Users/moshoodsikiru/Documents/ai-fx-trader/logs/schedule-execution.log)
2026-04-28 13:20:00,002 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T12:20:00.002448+00:00
2026-04-28 13:20:13,970 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=13934 signal_id=- detail=Predicted move 0.6 pips below minimum 5.0
2026-04-28 13:21:06,878 | INFO | schedule.execution | Schedule execution audit logger ready (file: /Users/moshoodsikiru/Documents/ai-fx-trader/logs/schedule-execution.log)
2026-04-28 13:22:31,612 | INFO | schedule.execution | Schedule execution audit logger ready (file: /Users/moshoodsikiru/Documents/ai-fx-trader/logs/schedule-execution.log)
2026-04-28 13:25:00,002 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T12:25:00.002718+00:00
2026-04-28 13:25:07,555 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SUCCESS duration_ms=7513 signal_id=sig_570574db82 detail=EURUSD H1 SELL
2026-04-28 13:30:00,000 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T12:30:00.000929+00:00
2026-04-28 13:30:00,185 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T12:30:00.185003+00:00
2026-04-28 13:30:06,102 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=5891 signal_id=- detail=Predicted move magnitude 3.5 pips below minimum 15.0
2026-04-28 13:30:11,092 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=11034 signal_id=- detail=Predicted move magnitude 3.5 pips below minimum 5.0
